post_id,post_image,post_text,post_views
6904,[],"[Читает сообщение в телефоне]: 

«С 8 марта - праздником весны и женщин!» - НИУ ВШЭ СПб поздравляет почему-то меня…

#Азаренков 
#основылитмастерства",{'count': 1770}
6903,[],"*читаем текст про абьюзивные отношению* 

Если у вас будет такая ситуация, так человеку и говорите: «Пес, ты чё вообще?! Ты чё вообще, пес?!»

#Азаренков 
#основылитмастерства",{'count': 1407}
6897,[],"ТИ: Далее мы должны загрузить это в эксель
С: А если мы не хотим эксель
ТИ: Хотите. Вы просто не знаете своих желаний 

#корпуснаялингвистика #попова",{'count': 2206}
6896,[],"Ну, да, наверное, это нестрашно, когда за тобой бежит баба Яга в четырнадцать лет. Это потому, что вы в Питере живете. Тут страшно, когда бежит мужчина с топором.
#Кирина #корпусная",{'count': 2138}
6890,[],"Ну да, понятно. Точнее, я не очень понял, но ладно...

#Князев #теорподходы",{'count': 1968}
6888,[],"Треугольник Карпмана отличается тем, что все ходят по кругу! Хотя это треугольник… 

#попова 
#основыметодики",{'count': 1930}
6887,[],"Лучше бы все месяца назвали в честь римских полководцев. Июль, август...а дальше ужас идёт.

#Кириченко
#французский",{'count': 1542}
6883,[],"Вы не можете иметь мебель IKEA И быть декадентом 

#Токарев",{'count': 1999}
6882,[],"Зачем читать. Это же скучно.
#пахомова
#инрл",{'count': 1699}
6881,[],"ОВ: Это, а вы не помните случайно, сотрудники Иисуса…как они назывались?
С: Апостолы?
ОВ: Да! Простите, я заволновалась.

#Блинова #дискурс",{'count': 1762}
6877,[],"*студент чихает на паре""

кстати, ""чихать"" по-французски - значит ""увековечить""

#кириченко
#французский",{'count': 1631}
6876,[],"У людей с чистой совестью, вероятно, слабая… *ждет ответа*… память))

#малкова #основыметодикипреподавания",{'count': 1737}
6872,[],"Похоже, что меня все хотят: грабители, деревенские…

#воейкова #онтолингвистика",{'count': 1584}
6870,[],"Видите, цепочка «Student of linguistics and the girl» не проходит тесты на NP…хотя это неплохое название для какой-нибудь инди-группы. 

#Князев #теорподходы",{'count': 1594}
6869,[],"Помните, как в этой... собаке на сене? Ой, в собачьем сердце

#Вьюгин #Сторителлинг",{'count': 1715}
6866,[],"всегда думал, что вместо бжд нужно вам преподавать закон божий

#калугин
#ктмл",{'count': 3386}
6863,[],"-Но кринж нам чем интересен, что он так взял и резко поднялся
#Кирина #корпусная",{'count': 2100}
6862,[],"П: И здесь мы можем видеть, что женщины сильнее предпочитают офтальмологов чем мужчины. 
С: *смех*
П: Я имею в виду название врача!
#Кирина #корпусная",{'count': 1704}
6861,[],"Ваше образование невозможно без розетки так же, как и без меня. Мы с ней в этом смысле равны
#Пахомова #фольклор",{'count': 1463}
6860,[],"П: Что вы сейчас видите за окном? Где вы сейчас?
С: Мы в России!
П: Да, мы однозначно там. 
#Пахомова #фольклор",{'count': 1617}
6859,[],"*лекция по детской речи и влиянии на нее родителей* 
Вот представьте, вы находитесь с человеком 24/7. Вы просыпаетесь — он с вами, вы засыпаете — он с вами. Кашу несет. Купает вас. Что-то с вами делает вместе, играет. С восторгом отзывается на ваши предложения, довольно дурацкие. 

#воейкова
#онтолингвистика",{'count': 1430}
6853,[],"Я вас заставляю это постоянно читать, потому что я тупой. И я сужу по себе. А что делать, если ты тупой? Постоянно повторять одно и то же с разных сторон. Вот этим мы с вами каждый раз и занимаемся. 
#Вьюгин #Сторителлинг",{'count': 1689}
6850,[],"П: Вы знаете, что это за термин?
С:…
П: А потому что вы прогуливали цифровую грамотность!
С: Я вам в сопе напишу, что вы токсичная 
П: Ну пишите. На правду не обижаются 
*Спустя некоторое время*
П: Что такое стемминг?
С: Это когда майстем работает))
П: Какая то обратная токсичность пошла 
#Кирина#корпусная",{'count': 2054}
6849,[],"*Зашла речь о Syntactic Structures Хомского*

Эта книга была достаточно известна, её в своё время читали под подушкой некоторые гуманитарии. 

#Князев #теорподходы",{'count': 1577}
6844,[],"Слушайте, а вам тоже сосисочная «Слой» отправляет сообщения: «мы рядом»?

#Блинова #Вопросы_современной_лингвистики",{'count': 2127}
6842,[],"ну не бойтесь вы, хотите, я буду поддерживать вас, как дуолинго? только вибрировать не смогу

#кириченко #французский",{'count': 2119}
6839,[],"Я считаю, что каждое селфи лишает вас частички астрального тела 

#Токарев #ТиКФК",{'count': 2046}
6836,[],"Тикток, вообще, недооцененный ресурс. Я, знаете, какое слово недавно благодаря тиктоку узнала? «Киннить»!

#Блинова #дискурс",{'count': 2206}
6835,[],"Бабушкам, дедушкам, наверное, тоже говорят комплименты…там, «из тебя песок ещё не сыплется», например. 

#Блинова #дискурс",{'count': 1647}
6832,[],"Я сейчас вам кое-что расскажу. Это будет очередной лингвистический анекдот, поэтому это будет несмешно.

#Кирина #корпусная_лингвистика",{'count': 2592}
6827,[],"Сейчас я включу свет и превращусь в тыкву
#козлов#academicwriting",{'count': 2153}
6826,[],"*обсуждаем исторический контекст*
Преподаватель: Да, это вообще был год…кстати, какой это был год?
Студент: тигра…
Преподаватель сквозь смех: знаете, это тоже что-то говорит о нас, о нашей культуре…
#Пахомова 
#фольклор",{'count': 2263}
6822,[],"Мы пишем CиDи, и это не призыв к действию! это команда 

#попова #кикмалт",{'count': 1834}
6821,[],"Попова: Я говорю студентам, ставим две точки. Вот это что (пишет на доске «:»)?
Студенты: двоеточие !
Попова: СПАСИБО!!!!

#попова #кикмалт",{'count': 1814}
